index,Month,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
25,JAN,422,526,552,630,695,760,825,890,955,1020,1085,1150,1215,1280,1345,1410,1475,1540,1605,1670,1735,1800
26,FEB,424,531,556,636,702,768,834,900,965,1031,1097,1163,1229,1295,1361,1427,1493,1559,1625,1691,1757,1822
27,MAR,427,537,560,642,708,775,842,909,976,1043,1110,1176,1243,1310,1377,1444,1511,1578,1645,1711,1778,1845
28,APR,429,542,564,647,715,783,851,919,986,1054,1122,1190,1258,1325,1393,1461,1529,1597,1664,1732,1800,1868
29,MAY,431,547,569,653,722,791,859,928,997,1066,1134,1203,1272,1341,1409,1478,1547,1615,1684,1753,1822,1890
30,JUN,433,552,573,659,728,798,868,938,1007,1077,1147,1216,1286,1356,1425,1495,1565,1634,1704,1774,1843,1913
31,JUL,435,558,577,665,735,806,876,947,1018,1088,1159,1230,1300,1371,1441,1512,1583,1653,1724,1795,1865,1936
32,AUG,438,563,581,670,742,813,885,957,1028,1100,1171,1243,1314,1386,1458,1529,1601,1672,1744,1815,1887,1959
33,SEP,440,568,585,676,749,821,894,966,1039,1111,1184,1256,1329,1401,1474,1546,1619,1691,1764,1836,1909,1981
34,OCT,442,574,589,682,755,829,902,976,1049,1123,1196,1269,1343,1416,1490,1563,1637,1710,1784,1857,1930,2004
35,NOV,444,579,593,688,762,836,911,985,1060,1134,1208,1283,1357,1431,1506,1580,1655,1729,1803,1878,1952,2027
36,DEC,447,584,597,693,769,844,919,995,1070,1145,1221,1296,1371,1447,1522,1597,1673,1748,1823,1899,1974,2049
37,JAN,449,589,601,699,775,852,928,1004,1080,1157,1233,1309,1385,1462,1538,1614,1691,1767,1843,1919,1996,2072
38,FEB,451,595,605,705,782,859,936,1014,1091,1168,1245,1322,1400,1477,1554,1631,1709,1786,1863,1940,2017,2095
39,MAR,453,600,610,711,789,867,945,1023,1101,1179,1258,1336,1414,1492,1570,1648,1727,1805,1883,1961,2039,2117
40,APR,455,605,614,716,795,874,954,1033,1112,1191,1270,1349,1428,1507,1586,1665,1745,1824,1903,1982,2061,2140
41,MAY,458,610,618,722,802,882,962,1042,1122,1202,1282,1362,1442,1522,1602,1682,1762,1843,1923,2003,2083,2163
42,JUN,460,616,622,728,809,890,971,1052,1133,1214,1295,1376,1457,1538,1619,1699,1780,1861,1942,2023,2104,2185
43,JUL,462,621,626,734,815,897,979,1061,1143,1225,1307,1389,1471,1553,1635,1717,1798,1880,1962,2044,2126,2208
44,AUG,464,626,630,739,822,905,988,1071,1154,1236,1319,1402,1485,1568,1651,1734,1816,1899,1982,2065,2148,2231
45,SEP,467,632,634,745,829,913,996,1080,1164,1248,1332,1415,1499,1583,1667,1751,1834,1918,2002,2086,2170,2253
46,OCT,469,637,638,751,836,920,1005,1090,1174,1259,1344,1429,1513,1598,1683,1768,1852,1937,2022,2107,2191,2276
47,NOV,471,642,642,757,842,928,1014,1099,1185,1271,1356,1442,1528,1613,1699,1785,1870,1956,2042,2127,2213,2299
48,DEC,473,647,647,762,849,936,1022,1109,1195,1282,1369,1455,1542,1628,1715,1802,1888,1975,2062,2148,2235,2321
49,JAN,476,653,651,768,856,943,1031,1118,1206,1293,1381,1469,1556,1644,1731,1819,1906,1994,2081,2169,2257,2344
50,FEB,478,658,655,774,862,951,1039,1128,1216,1305,1393,1482,1570,1659,1747,1836,1924,2013,2101,2190,2278,2367
51,MAR,480,663,659,780,869,958,1048,1137,1227,1316,1406,1495,1585,1674,1763,1853,1942,2032,2121,2211,2300,2389
52,APR,482,669,663,785,876,966,1056,1147,1237,1328,1418,1508,1599,1689,1779,1870,1960,2051,2141,2231,2322,2412
53,MAY,484,674,667,791,882,974,1065,1156,1248,1339,1430,1522,1613,1704,1796,1887,1978,2070,2161,2252,2343,2435
54,JUN,487,679,671,797,889,981,1074,1166,1258,1350,1443,1535,1627,1719,1812,1904,1996,2088,2181,2273,2365,2457
55,JUL,489,684,675,803,896,989,1082,1175,1269,1362,1455,1548,1641,1735,1828,1921,2014,2107,2201,2294,2387,2480
56,AUG,491,690,679,808,902,997,1091,1185,1279,1373,1467,1561,1656,1750,1844,1938,2032,2126,2220,2315,2409,2503
57,SEP,493,695,683,814,909,1004,1099,1194,1289,1385,1480,1575,1670,1765,1860,1955,2050,2145,2240,2335,2430,2526
58,OCT,496,700,688,820,916,1012,1108,1204,1300,1396,1492,1588,1684,1780,1876,1972,2068,2164,2260,2356,2452,2548
59,NOV,498,706,692,826,923,1019,1116,1213,1310,1407,1504,1601,1698,1795,1892,1989,2086,2183,2280,2377,2474,2571
60,DEC,500,711,696,831,929,1027,1125,1223,1321,1419,1517,1615,1712,1810,1908,2006,2104,2202,2300,2398,2496,2594
61,JAN,502,716,700,837,936,1035,1134,1232,1331,1430,1529,1628,1727,1826,1924,2023,2122,2221,2320,2419,2517,2616
62,FEB,504,721,704,843,943,1042,1142,1242,1342,1442,1541,1641,1741,1841,1940,2040,2140,2240,2340,2439,2539,2639
63,MAR,507,727,708,849,949,1050,1151,1251,1352,1453,1554,1654,1755,1856,1957,2057,2158,2259,2359,2460,2561,2662
64,APR,509,732,712,854,956,1058,1159,1261,1363,1464,1566,1668,1769,1871,1973,2074,2176,2278,2379,2481,2583,2684
65,MAY,511,737,716,860,963,1065,1168,1271,1373,1476,1578,1681,1784,1886,1989,2091,2194,2297,2399,2502,2604,2707
66,JUN,513,742,720,866,969,1073,1176,1280,1384,1487,1591,1694,1798,1901,2005,2108,2212,2315,2419,2523,2626,2730
67,JUL,516,748,725,872,976,1081,1185,1290,1394,1499,1603,1707,1812,1916,2021,2125,2230,2334,2439,2543,2648,2752
68,AUG,518,753,729,877,983,1088,1194,1299,1404,1510,1615,1721,1826,1932,2037,2142,2248,2353,2459,2564,2670,2775
69,SEP,520,758,733,883,989,1096,1202,1309,1415,1521,1628,1734,1840,1947,2053,2159,2266,2372,2479,2585,2691,2798
70,OCT,522,764,737,889,996,1103,1211,1318,1425,1533,1640,1747,1855,1962,2069,2177,2284,2391,2498,2606,2713,2820
71,NOV,524,769,741,895,1003,1111,1219,1328,1436,1544,1652,1761,1869,1977,2085,2194,2302,2410,2518,2627,2735,2843
72,DEC,527,774,745,900,1010,1119,1228,1337,1446,1555,1665,1774,1883,1992,2101,2211,2320,2429,2538,2647,2757,2866
73,JAN,529,779,749,906,1016,1126,1236,1347,1457,1567,1677,1787,1897,2007,2118,2228,2338,2448,2558,2668,2778,2888
74,FEB,531,785,753,912,1023,1134,1245,1356,1467,1578,1689,1800,1911,2023,2134,2245,2356,2467,2578,2689,2800,2911
75,MAR,533,790,757,918,1030,1142,1254,1366,1478,1590,1702,1814,1926,2038,2150,2262,2374,2486,2598,2710,2822,2934
76,APR,536,795,761,923,1036,1149,1262,1375,1488,1601,1714,1827,1940,2053,2166,2279,2392,2505,2618,2731,2844,2956
77,MAY,538,801,766,929,1043,1157,1271,1385,1499,1612,1726,1840,1954,2068,2182,2296,2410,2524,2637,2751,2865,2979
78,JUN,540,806,770,935,1050,1165,1279,1394,1509,1624,1739,1854,1968,2083,2198,2313,2428,2543,2657,2772,2887,3002
79,JUL,542,811,774,941,1056,1172,1288,1404,1519,1635,1751,1867,1983,2098,2214,2330,2446,2561,2677,2793,2909,3025
80,AUG,544,816,778,946,1063,1180,1296,1413,1530,1647,1763,1880,1997,2113,2230,2347,2464,2580,2697,2814,2930,3047
81,SEP,547,822,782,952,1070,1187,1305,1423,1540,1658,1776,1893,2011,2129,2246,2364,2482,2599,2717,2835,2952,3070
82,OCT,549,827,786,958,1076,1195,1314,1432,1551,1669,1788,1907,2025,2144,2262,2381,2500,2618,2737,2855,2974,3093
83,NOV,551,832,790,964,1083,1203,1322,1442,1561,1681,1800,1920,2039,2159,2278,2398,2518,2637,2757,2876,2996,3115
84,DEC,553,838,794,969,1090,1210,1331,1451,1572,1692,1813,1933,2054,2174,2295,2415,2536,2656,2776,2897,3017,3138
85,JAN,556,843,798,975,1097,1218,1339,1461,1582,1704,1825,1946,2068,2189,2311,2432,2554,2675,2796,2918,3039,3161
86,FEB,558,848,803,981,1103,1226,1348,1470,1593,1715,1837,1960,2082,2204,2327,2449,2571,2694,2816,2939,3061,3183
87,MAR,560,853,807,987,1110,1233,1356,1480,1603,1726,1850,1973,2096,2220,2343,2466,2589,2713,2836,2959,3083,3206
88,APR,562,859,811,992,1117,1241,1365,1489,1614,1738,1862,1986,2110,2235,2359,2483,2607,2732,2856,2980,3104,3229
89,MAY,564,864,815,998,1123,1248,1374,1499,1624,1749,1874,2000,2125,2250,2375,2500,2625,2751,2876,3001,3126,3251
90,JUN,567,869,819,1004,1130,1256,1382,1508,1634,1761,1887,2013,2139,2265,2391,2517,2643,2770,2896,3022,3148,3274
91,JUL,569,874,823,1010,1137,1264,1391,1518,1645,1772,1899,2026,2153,2280,2407,2534,2661,2788,2916,3043,3170,3297
92,AUG,571,880,827,1015,1143,1271,1399,1527,1655,1783,1911,2039,2167,2295,2423,2551,2679,2807,2935,3063,3191,3319
93,SEP,573,885,831,1021,1150,1279,1408,1537,1666,1795,1924,2053,2182,2311,2439,2568,2697,2826,2955,3084,3213,3342
94,OCT,576,890,835,1027,1157,1287,1416,1546,1676,1806,1936,2066,2196,2326,2456,2585,2715,2845,2975,3105,3235,3365
95,NOV,578,896,839,1033,1163,1294,1425,1556,1687,1818,1948,2079,2210,2341,2472,2602,2733,2864,2995,3126,3257,3387
96,DEC,580,901,844,1038,1170,1302,1434,1565,1697,1829,1961,2092,2224,2356,2488,2620,2751,2883,3015,3147,3278,3410
97,JAN,582,906,848,1044,1177,1310,1442,1575,1708,1840,1973,2106,2238,2371,2504,2636,2769,2902,3035,3167,3300,3433
98,FEB,584,911,852,1050,1183,1317,1451,1584,1718,1852,1985,2119,2253,2386,2520,2653,2787,2921,3054,3188,3322,3455
99,MAR,587,917,856,1056,1190,1325,1459,1594,1729,1863,1998,2132,2267,2401,2536,2671,2805,2940,3074,3209,3344,3478
100,APR,589,922,860,1061,1197,1332,1468,1603,1739,1875,2010,2146,2281,2417,2552,2688,2823,2959,3094,3230,3365,3501
101,MAY,591,927,864,1067,1204,1340,1476,1613,1749,1886,2022,2159,2295,2432,2568,2705,2841,2978,3114,3251,3387,3523
102,JUN,593,933,868,1073,1210,1348,1485,1622,1760,1897,2035,2172,2309,2447,2584,2722,2859,2997,3134,3271,3409,3546
103,JUL,596,938,872,1079,1217,1355,1494,1632,1770,1909,2047,2185,2324,2462,2600,2739,2877,3015,3154,3292,3430,3569
104,AUG,598,943,876,1084,1224,1363,1502,1642,1781,1920,2059,2199,2338,2477,2617,2756,2895,3034,3174,3313,3452,3592
105,SEP,600,948,881,1090,1230,1371,1511,1651,1791,1932,2072,2212,2352,2492,2633,2773,2913,3053,3194,3334,3474,3614
106,OCT,602,954,885,1096,1237,1378,1519,1661,1802,1943,2084,2225,2366,2508,2649,2790,2931,3072,3213,3355,3496,3637
107,NOV,605,959,889,1102,1244,1386,1528,1670,1812,1954,2096,2238,2381,2523,2665,2807,2949,3091,3233,3375,3517,3660
108,DEC,607,964,893,1107,1250,1393,1536,1680,1823,1966,2109,2252,2395,2538,2681,2824,2967,3110,3253,3396,3539,3682
109,JAN,609,970,897,1113,1257,1401,1545,1689,1833,1977,2121,2265,2409,2553,2697,2841,2985,3129,3273,3417,3561,3705
110,FEB,611,975,901,1119,1264,1409,1554,1699,1843,1988,2133,2278,2423,2568,2713,2858,3003,3148,3293,3438,3583,3728
111,MAR,613,980,905,1125,1270,1416,1562,1708,1854,2000,2146,2292,2437,2583,2729,2875,3021,3167,3313,3459,3604,3750
112,APR,616,985,909,1130,1277,1424,1571,1718,1864,2011,2158,2305,2452,2599,2745,2892,3039,3186,3333,3479,3626,3773
113,MAY,618,991,913,1136,1284,1432,1579,1727,1875,2023,2170,2318,2466,2614,2761,2909,3057,3205,3352,3500,3648,3796
114,JUN,620,996,917,1142,1291,1439,1588,1737,1885,2034,2183,2331,2480,2629,2777,2926,3075,3224,3372,3521,3670,3818
115,JUL,622,1001,922,1148,1297,1447,1596,1746,1896,2045,2195,2345,2494,2644,2794,2943,3093,3242,3392,3542,3691,3841
116,AUG,625,1006,926,1153,1304,1455,1605,1756,1906,2057,2207,2358,2509,2659,2810,2960,3111,3261,3412,3563,3713,3864
117,SEP,627,1012,930,1159,1311,1462,1614,1765,1917,2068,2220,2371,2523,2674,2826,2977,3129,3280,3432,3583,3735,3886
118,OCT,629,1017,934,1165,1317,1470,1622,1775,1927,2080,2232,2385,2537,2689,2842,2994,3147,3299,3452,3604,3757,3909
119,NOV,631,1022,938,1171,1324,1477,1631,1784,1938,2091,2244,2398,2551,2705,2858,3011,3165,3318,3472,3625,3778,3932
120,DEC,633,1028,942,1176,1331,1485,1639,1794,1948,2102,2257,2411,2565,2720,2874,3028,3183,3337,3491,3646,3800,3954
121,JAN,636,1033,946,1182,1337,1493,1648,1803,1958,2114,2269,2424,2580,2735,2890,3045,3201,3356,3511,3667,3822,3977
122,FEB,638,1038,950,1188,1344,1500,1656,1813,1969,2125,2281,2438,2594,2750,2906,3062,3219,3375,3531,3687,3844,4000
123,MAR,640,1043,954,1194,1351,1508,1665,1822,1979,2137,2294,2451,2608,2765,2922,3079,3237,3394,3551,3708,3865,4022
124,APR,642,1049,959,1199,1357,1516,1674,1832,1990,2148,2306,2464,2622,2780,2938,3096,3255,3413,3571,3729,3887,4045
125,MAY,645,1054,963,1205,1364,1523,1682,1841,2000,2159,2318,2477,2636,2796,2955,3113,3273,3432,3591,3750,3909,4068
126,JUN,647,1059,967,1211,1371,1531,1691,1851,2011,2171,2331,2491,2651,2811,2971,3130,3291,3451,3611,3771,3930,4090
127,JUL,649,1065,971,1217,1378,1538,1699,1860,2021,2182,2343,2504,2665,2826,2987,3148,3309,3469,3630,3791,3952,4113
128,AUG,651,1070,975,1222,1384,1546,1708,1870,2032,2194,2355,2517,2679,2841,3003,3165,3326,3488,3650,3812,3974,4136
129,SEP,653,1075,979,1228,1391,1554,1716,1879,2042,2205,2368,2531,2693,2856,3019,3182,3344,3507,3670,3833,3996,4159
130,OCT,656,1080,983,1234,1398,1561,1725,1889,2053,2216,2380,2544,2708,2871,3035,3199,3362,3526,3690,3854,4017,4181
131,NOV,658,1086,987,1240,1404,1569,1734,1898,2063,2228,2392,2557,2722,2886,3051,3216,3380,3545,3710,3875,4039,4204
132,DEC,660,1091,991,1245,1411,1577,1742,1908,2073,2239,2405,2570,2736,2902,3067,3233,3398,3564,3730,3895,4061,4227
133,JAN,662,1096,995,1251,1418,1584,1751,1917,2084,2251,2417,2584,2750,2917,3083,3250,3416,3583,3750,3916,4083,4249
134,FEB,665,1102,1000,1257,1424,1592,1759,1927,2094,2262,2429,2597,2764,2932,3099,3267,3434,3602,3769,3937,4104,4272
135,MAR,667,1107,1004,1263,1431,1600,1768,1936,2105,2273,2442,2610,2779,2947,3116,3284,3452,3621,3789,3958,4126,4295
136,APR,669,1112,1008,1268,1438,1607,1776,1946,2115,2285,2454,2623,2793,2962,3132,3301,3470,3640,3809,3979,4148,4317
137,MAY,671,1117,1012,1274,1444,1615,1785,1955,2126,2296,2466,2637,2807,2977,3148,3318,3488,3659,3829,3999,4170,4340
138,JUN,673,1123,1016,1280,1451,1622,1794,1965,2136,2308,2479,2650,2821,2993,3164,3335,3506,3678,3849,4020,4191,4363
139,JUL,676,1128,1020,1286,1458,1630,1802,1974,2147,2319,2491,2663,2835,3008,3180,3352,3524,3697,3869,4041,4213,4385
140,AUG,678,1133,1024,1291,1465,1638,1811,1984,2157,2330,2503,2677,2850,3023,3196,3369,3542,3715,3889,4062,4235,4408
141,SEP,680,1138,1028,1297,1471,1645,1819,1993,2168,2342,2516,2690,2864,3038,3212,3386,3560,3734,3908,4083,4257,4431
142,OCT,682,1144,1032,1303,1478,1653,1828,2003,2178,2353,2528,2703,2878,3053,3228,3403,3578,3753,3928,4103,4278,4453
143,NOV,685,1149,1037,1309,1485,1661,1836,2013,2188,2364,2540,2716,2892,3068,3244,3420,3596,3772,3948,4124,4300,4476
144,DEC,687,1154,1041,1314,1491,1668,1845,2022,2199,2376,2553,2730,2907,3084,3260,3437,3614,3791,3968,4145,4322,4499
145,JAN,689,1160,1045,1320,1498,1676,1854,2032,2209,2387,2565,2743,2921,3099,3276,3454,3632,3810,3988,4166,4344,4521
146,FEB,691,1165,1049,1326,1505,1683,1862,2041,2220,2399,2577,2756,2935,3114,3293,3471,3650,3829,4008,4187,4365,4544
147,MAR,693,1170,1053,1332,1511,1691,1871,2051,2230,2410,2590,2769,2949,3129,3309,3488,3668,3848,4028,4207,4387,4567
148,APR,696,1175,1057,1337,1518,1699,1879,2060,2241,2421,2602,2783,2963,3144,3325,3505,3686,3867,4047,4228,4409,4589
149,MAY,698,1181,1061,1343,1525,1706,1888,2070,2251,2433,2614,2796,2978,3159,3341,3522,3704,3886,4067,4249,4431,4612
150,JUN,700,1186,1065,1349,1531,1714,1896,2079,2262,2444,2627,2809,2992,3174,3357,3539,3722,3905,4087,4270,4452,4635
151,JUL,702,1191,1069,1355,1538,1722,1905,2089,2272,2456,2639,2823,3006,3190,3373,3556,3740,3924,4107,4291,4474,4658
152,AUG,705,1197,1073,1360,1545,1729,1914,2098,2283,2467,2651,2836,3020,3205,3389,3573,3758,3942,4127,4311,4496,4680
153,SEP,707,1202,1078,1366,1552,1737,1922,2108,2293,2478,2664,2849,3034,3220,3405,3590,3776,3961,4147,4332,4517,4703
154,OCT,709,1207,1082,1372,1558,1745,1931,2117,2303,2490,2676,2862,3049,3235,3421,3607,3794,3980,4167,4353,4539,4726
155,NOV,711,1212,1086,1378,1565,1752,1939,2127,2314,2501,2688,2876,3063,3250,3437,3625,3812,3999,4186,4374,4561,4748
156,DEC,713,1218,1090,1383,1572,1760,1948,2136,2324,2513,2701,2889,3077,3265,3454,3642,3830,4018,4206,4395,4583,4771
157,JAN,716,1223,1094,1389,1578,1767,1956,2146,2335,2524,2713,2902,3091,3281,3470,3659,3848,4037,4226,4415,4604,4794
158,FEB,718,1228,1098,1395,1585,1775,1965,2155,2345,2535,2725,2916,3106,3296,3486,3676,3866,4056,4246,4436,4626,4816
159,MAR,720,1234,1102,1401,1592,1783,1974,2165,2356,2547,2738,2929,3120,3311,3502,3693,3884,4075,4266,4457,4648,4839
160,APR,722,1239,1106,1406,1598,1790,1982,2174,2366,2558,2750,2942,3134,3326,3518,3710,3902,4094,4286,4478,4670,4862
161,MAY,725,1244,1110,1412,1605,1798,1991,2184,2377,2570,2762,2955,3148,3341,3534,3727,3920,4113,4306,4499,4691,4884
162,JUN,727,1249,1115,1418,1612,1806,1999,2193,2387,2581,2775,2969,3162,3356,3550,3744,3938,4132,4325,4519,4713,4907
163,JUL,729,1255,1119,1424,1618,1813,2008,2203,2397,2592,2787,2982,3177,3372,3566,3761,3956,4151,4345,4540,4735,4930
164,AUG,731,1260,1123,1429,1625,1821,2016,2212,2408,2604,2799,2995,3191,3387,3582,3778,3974,4169,4365,4561,4757,4952
165,SEP,734,1265,1127,1435,1632,1829,2025,2222,2418,2615,2812,3008,3205,3402,3598,3795,3992,4188,4385,4582,4778,4975
166,OCT,736,1270,1131,1441,1638,1836,2034,2231,2429,2627,2824,3022,3219,3417,3615,3812,4010,4207,4405,4603,4800,4998
167,NOV,738,1276,1135,1447,1645,1844,2042,2241,2439,2638,2836,3035,3234,3432,3631,3829,4028,4226,4425,4623,4822,5020
168,DEC,740,1281,1139,1452,1652,1851,2051,2250,2450,2649,2849,3048,3248,3447,3647,3846,4046,4245,4445,4644,4844,5043
169,JAN,742,1286,1143,1458,1659,1859,2059,2260,2460,2661,2861,3062,3262,3462,3663,3863,4064,4264,4464,4665,4865,5066
170,FEB,745,1292,1147,1464,1665,1867,2068,2269,2471,2672,2873,3075,3276,3478,3679,3880,4082,4283,4484,4686,4887,5088
171,MAR,747,1297,1151,1470,1672,1874,2076,2279,2481,2684,2886,3088,3290,3493,3695,3897,4099,4302,4504,4707,4909,5111
172,APR,749,1302,1156,1475,1679,1882,2085,2288,2492,2695,2898,3101,3305,3508,3711,3914,4117,4321,4524,4727,4931,5134
173,MAY,751,1307,1160,1481,1685,1890,2094,2298,2502,2706,2910,3115,3319,3523,3727,3931,4135,4340,4544,4748,4952,5156
174,JUN,754,1313,1164,1487,1692,1897,2102,2307,2512,2718,2923,3128,3333,3538,3743,3948,4153,4359,4564,4769,4974,5179
175,JUL,756,1318,1168,1493,1699,1905,2111,2317,2523,2729,2935,3141,3347,3553,3759,3965,4171,4378,4584,4790,4996,5202
176,AUG,758,1323,1172,1498,1705,1912,2119,2326,2533,2740,2947,3154,3361,3569,3775,3982,4189,4396,4603,4811,5017,5225
177,SEP,760,1329,1176,1504,1712,1920,2128,2336,2544,2752,2960,3168,3376,3584,3792,3999,4207,4415,4623,4831,5039,5247
178,OCT,762,1334,1180,1510,1719,1928,2136,2345,2554,2763,2972,3181,3390,3599,3808,4016,4225,4434,4643,4852,5061,5270
179,NOV,765,1339,1184,1516,1725,1935,2145,2355,2565,2775,2984,3194,3404,3614,3824,4033,4243,4453,4663,4873,5083,5293
180,DEC,767,1344,1188,1521,1732,1943,2154,2364,2575,2786,2997,3208,3418,3629,3840,4050,4261,4472,4683,4894,5104,5315
181,JAN,769,1350,1192,1527,1739,1951,2162,2374,2586,2797,3009,3221,3433,3644,3856,4067,4279,4491,4703,4915,5126,5338
182,FEB,771,1355,1197,1533,1746,1958,2171,2384,2596,2809,3021,3234,3447,3659,3872,4085,4297,4510,4723,4935,5148,5361
183,MAR,774,1360,1201,1539,1752,1966,2179,2393,2607,2820,3034,3247,3461,3675,3888,4102,4315,4529,4742,4956,5170,5383
184,APR,776,1366,1205,1544,1759,1974,2188,2403,2617,2832,3046,3261,3475,3690,3904,4119,4333,4548,4762,4977,5191,5406
185,MAY,778,1371,1209,1550,1766,1981,2196,2412,2627,2843,3058,3274,3489,3705,3920,4136,4351,4567,4782,4998,5213,5429
186,JUN,780,1376,1213,1556,1772,1989,2205,2422,2638,2854,3071,3287,3504,3720,3936,4153,4369,4586,4802,5019,5235,5451
187,JUL,782,1381,1217,1562,1779,1996,2214,2431,2648,2866,3083,3300,3518,3735,3953,4170,4387,4605,4822,5039,5257,5474
188,AUG,785,1387,1221,1567,1786,2004,2222,2441,2659,2877,3095,3314,3532,3750,3969,4187,4405,4624,4842,5060,5278,5497
189,SEP,787,1392,1225,1573,1792,2012,2231,2450,2669,2889,3108,3327,3546,3766,3985,4204,4423,4642,4862,5081,5300,5519
190,OCT,789,1397,1229,1579,1799,2019,2239,2460,2680,2900,3120,3340,3560,3781,4001,4221,4441,4661,4881,5102,5322,5542
191,NOV,791,1402,1234,1585,1806,2027,2248,2469,2690,2911,3132,3354,3575,3796,4017,4238,4459,4680,4901,5123,5344,5565
192,DEC,794,1408,1238,1590,1812,2035,2256,2479,2701,2923,3145,3367,3589,3811,4033,4255,4477,4699,4921,5143,5365,5587
193,JAN,796,1413,1242,1596,1819,2042,2265,2488,2711,2934,3157,3380,3603,3826,4049,4272,4495,4718,4941,5164,5387,5610
194,FEB,798,1418,1246,1602,1826,2050,2274,2498,2722,2946,3169,3393,3617,3841,4065,4289,4513,4737,4961,5185,5409,5633
195,MAR,800,1424,1250,1608,1833,2057,2282,2507,2732,2957,3182,3407,3632,3857,4081,4306,4531,4756,4981,5206,5431,5655
196,APR,802,1429,1254,1613,1839,2065,2291,2517,2742,2968,3194,3420,3646,3872,4097,4323,4549,4775,5001,5227,5452,5678
197,MAY,805,1434,1258,1619,1846,2073,2299,2526,2753,2980,3206,3433,3660,3887,4114,4340,4567,4794,5020,5247,5474,5701
198,JUN,807,1439,1262,1625,1853,2080,2308,2536,2763,2991,3219,3447,3674,3902,4130,4357,4585,4813,5040,5268,5496,5723
199,JUL,809,1445,1266,1631,1859,2088,2316,2545,2774,3003,3231,3460,3688,3917,4146,4374,4603,4832,5060,5289,5517,5746
200,AUG,811,1450,1270,1636,1866,2096,2325,2555,2784,3014,3243,3473,3703,3932,4162,4391,4621,4851,5080,5310,5539,5769
201,SEP,814,1455,1275,1642,1873,2103,2334,2564,2795,3025,3256,3486,3717,3947,4178,4408,4639,4869,5100,5331,5561,5792
202,OCT,816,1461,1279,1648,1879,2111,2342,2574,2805,3037,3268,3500,3731,3963,4194,4425,4657,4888,5120,5351,5583,5814
203,NOV,818,1466,1283,1654,1886,2119,2351,2583,2816,3048,3280,3513,3745,3978,4210,4442,4675,4907,5140,5372,5604,5837
204,DEC,820,1471,1287,1659,1893,2126,2359,2593,2826,3060,3293,3526,3759,3993,4226,4459,4693,4926,5159,5393,5626,5860
